campaign_id,campaign_name,campaign_type,target_segment,start_date,end_date,campaign_cost,users_targeted,conversions
3025,New Year Cashback Deal,Reactivation,Inactive Users,2022-01-26,2022-02-03,10025.0,1025,525
3026,Diwali Free Trial,Acquisition,Monthly Plan Users,2022-01-27,2022-02-05,10026.0,1026,526
3027,IPL Upgrade Now,Retention,Annual Plan Users,2022-01-28,2022-02-07,10027.0,1027,527
3028,Holiday Referral Bonus,Reactivation,New Users,2022-01-29,2022-02-09,10028.0,1028,528
3029,Prime Watch More,Acquisition,Premium Users,2022-01-30,2022-02-11,10029.0,1029,529
3030,Weekend Reactivate,Retention,Inactive Users,2022-01-31,2022-02-13,10030.0,1030,530
3031,Festival Special Offer,Reactivation,Monthly Plan Users,2022-02-01,2022-02-15,10031.0,1031,531
3032,Summer Binge Offer,Acquisition,Annual Plan Users,2022-02-02,2022-02-17,10032.0,1032,532
3033,Monsoon Cashback Deal,Retention,New Users,2022-02-03,2022-02-19,10033.0,1033,533
3034,Winter Free Trial,Reactivation,,2022-02-04,2022-02-21,10034.0,1034,534
3035,New Year Upgrade Now,Acquisition,Inactive Users,2022-02-05,2022-02-23,10035.0,1035,535
3036,Diwali Referral Bonus,Retention,Monthly Plan Users,2022-02-06,2022-02-25,10036.0,1036,536
3037,IPL Watch More,Reactivation,Annual Plan Users,2022-02-07,2022-02-27,10037.0,1037,537
3038,Holiday Reactivate,Acquisition,New Users,2022-02-08,2022-03-01,10038.0,1038,538
3039,Prime Special Offer,Retention,Premium Users,2022-02-09,2022-03-03,10039.0,1039,539
3040,Weekend Binge Offer,Reactivation,Inactive Users,2022-02-10,2022-03-05,10040.0,1040,540
3041,Festival Cashback Deal,Acquisition,Monthly Plan Users,2022-02-11,2022-03-07,10041.0,1041,541
3042,Summer Free Trial,Retention,Annual Plan Users,2022-02-12,2022-03-09,10042.0,1042,542
3043,Monsoon Upgrade Now,Reactivation,New Users,2022-02-13,2022-03-11,10043.0,1043,543
3044,Winter Referral Bonus,Acquisition,Premium Users,2022-02-14,2022-03-13,10044.0,1044,544
3045,New Year Watch More,Retention,Inactive Users,2022-02-15,2022-03-15,10045.0,1045,545
3046,Diwali Reactivate,Reactivation,Monthly Plan Users,2022-02-16,2022-03-17,10046.0,1046,546
3047,IPL Special Offer,Acquisition,Annual Plan Users,2022-02-17,2022-03-19,10047.0,1047,547
3048,Holiday Binge Offer,Retention,New Users,2022-02-18,2022-02-25,10048.0,1048,548
3049,Prime Cashback Deal,Reactivation,Premium Users,2022-02-19,2022-02-27,10049.0,1049,549
3050,Weekend Free Trial,Acquisition,Inactive Users,2022-02-20,2022-03-01,10050.0,1050,550
3051,Festival Upgrade Now,Retention,,2022-02-21,2022-03-03,10051.0,1051,551
3052,Summer Referral Bonus,Reactivation,Annual Plan Users,2022-02-22,2022-03-05,10052.0,1052,552
3053,Monsoon Watch More,Acquisition,New Users,2022-02-23,2022-03-07,10053.0,1053,553
3054,Winter Reactivate,Retention,Premium Users,2022-02-24,2022-03-09,10054.0,1054,554
3055,New Year Special Offer,Reactivation,Inactive Users,2022-02-25,2022-03-11,10055.0,1055,555
3056,Diwali Binge Offer,Acquisition,Monthly Plan Users,2022-02-26,2022-03-13,10056.0,1056,556
3057,IPL Cashback Deal,Retention,Annual Plan Users,2022-02-27,2022-03-15,10057.0,1057,557
3058,Holiday Free Trial,Reactivation,New Users,2022-02-28,2022-03-17,10058.0,1058,558
3059,Prime Upgrade Now,Acquisition,Premium Users,2022-03-01,2022-03-19,10059.0,1059,559
3060,Weekend Referral Bonus,Retention,Inactive Users,2022-03-02,2022-03-21,10060.0,1060,560
3061,Festival Watch More,Reactivation,Monthly Plan Users,2022-03-03,2022-03-23,10061.0,1061,561
3062,Summer Reactivate,Acquisition,Annual Plan Users,2022-03-04,2022-03-25,10062.0,1062,562
3063,Monsoon Special Offer,Retention,New Users,2022-03-05,2022-03-27,10063.0,1063,563
3064,Winter Binge Offer,Reactivation,Premium Users,2022-03-06,2022-03-29,10064.0,1064,564
3065,New Year Cashback Deal,Acquisition,Inactive Users,2022-03-07,2022-03-31,10065.0,1065,565
3066,Diwali Free Trial,Retention,Monthly Plan Users,2022-03-08,2022-04-02,10066.0,1066,566
3067,IPL Upgrade Now,Reactivation,Annual Plan Users,2022-03-09,2022-04-04,10067.0,1067,567
3068,Holiday Referral Bonus,Acquisition,,2022-03-10,2022-04-06,10068.0,1068,568
3069,Prime Watch More,Retention,Premium Users,2022-03-11,2022-04-08,10069.0,1069,569
3070,Weekend Reactivate,Reactivation,Inactive Users,2022-03-12,2022-04-10,10070.0,1070,570
3071,Festival Special Offer,Acquisition,Monthly Plan Users,2022-03-13,2022-04-12,10071.0,1071,571
3072,Summer Binge Offer,Retention,Annual Plan Users,2022-03-14,2022-03-21,10072.0,1072,572
3073,Monsoon Cashback Deal,Reactivation,New Users,2022-03-15,2022-03-23,10073.0,1073,573
3074,Winter Free Trial,Acquisition,Premium Users,2022-03-16,2022-03-25,10074.0,1074,574
3075,New Year Upgrade Now,Retention,Inactive Users,2022-03-17,2022-03-27,10075.0,1075,575
3076,Diwali Referral Bonus,Reactivation,Monthly Plan Users,2022-03-18,2022-03-29,10076.0,1076,576
3077,IPL Watch More,Acquisition,Annual Plan Users,2022-03-19,2022-03-31,10077.0,1077,577
3078,Holiday Reactivate,Retention,New Users,2022-03-20,2022-04-02,10078.0,1078,578
3079,Prime Special Offer,Reactivation,Premium Users,2022-03-21,2022-04-04,10079.0,1079,579
3080,Weekend Binge Offer,Acquisition,Inactive Users,2022-03-22,2022-04-06,10080.0,1080,580
3081,Festival Cashback Deal,Retention,Monthly Plan Users,2022-03-23,2022-04-08,10081.0,1081,581
3082,Summer Free Trial,Reactivation,Annual Plan Users,2022-03-24,2022-04-10,10082.0,1082,582
3083,Monsoon Upgrade Now,Acquisition,New Users,2022-03-25,2022-04-12,10083.0,1083,583
3084,Winter Referral Bonus,Retention,Premium Users,2022-03-26,2022-04-14,10084.0,1084,584
3085,New Year Watch More,Reactivation,,2022-03-27,2022-04-16,10085.0,1085,585
3086,Diwali Reactivate,Acquisition,Monthly Plan Users,2022-03-28,2022-04-18,10086.0,1086,586
3087,IPL Special Offer,Retention,Annual Plan Users,2022-03-29,2022-04-20,10087.0,1087,587
3088,Holiday Binge Offer,Reactivation,New Users,2022-03-30,2022-04-22,10088.0,1088,588
3089,Prime Cashback Deal,Acquisition,Premium Users,2022-03-31,2022-04-24,10089.0,1089,589
3090,Weekend Free Trial,Retention,Inactive Users,2022-04-01,2022-04-26,10090.0,1090,590
3091,Festival Upgrade Now,Reactivation,Monthly Plan Users,2022-04-02,2022-04-28,10091.0,1091,591
3092,Summer Referral Bonus,Acquisition,Annual Plan Users,2022-04-03,2022-04-30,10092.0,1092,592
3093,Monsoon Watch More,Retention,New Users,2022-04-04,2022-05-02,10093.0,1093,593
3094,Winter Reactivate,Reactivation,Premium Users,2022-04-05,2022-05-04,10094.0,1094,594
3095,New Year Special Offer,Acquisition,Inactive Users,2022-04-06,2022-05-06,10095.0,1095,595
3096,Diwali Binge Offer,Retention,Monthly Plan Users,2022-04-07,2022-04-14,10096.0,1096,596
3097,IPL Cashback Deal,Reactivation,Annual Plan Users,2022-04-08,2022-04-16,10097.0,1097,597
3098,Holiday Free Trial,Acquisition,New Users,2022-04-09,2022-04-18,10098.0,1098,598
3099,Prime Upgrade Now,Retention,Premium Users,2022-04-10,2022-04-20,10099.0,1099,599
3100,Weekend Referral Bonus,Reactivation,Inactive Users,2022-04-11,2022-04-22,10100.0,1100,600
3101,Festival Watch More,Acquisition,Monthly Plan Users,2022-04-12,2022-04-24,10101.0,1101,601
3102,Summer Reactivate,Retention,,2022-04-13,2022-04-26,10102.0,1102,602
3103,Monsoon Special Offer,Reactivation,New Users,2022-04-14,2022-04-28,10103.0,1103,603
3104,Winter Binge Offer,Acquisition,Premium Users,2022-04-15,2022-04-30,10104.0,1104,604
3105,New Year Cashback Deal,Retention,Inactive Users,2022-04-16,2022-05-02,10105.0,1105,605
3106,Diwali Free Trial,Reactivation,Monthly Plan Users,2022-04-17,2022-05-04,10106.0,1106,606
3107,IPL Upgrade Now,Acquisition,Annual Plan Users,2022-04-18,2022-05-06,10107.0,1107,607
3108,Holiday Referral Bonus,Retention,New Users,2022-04-19,2022-05-08,10108.0,1108,608
3109,Prime Watch More,Reactivation,Premium Users,2022-04-20,2022-05-10,10109.0,1109,609
3110,Weekend Reactivate,Acquisition,Inactive Users,2022-04-21,2022-05-12,10110.0,1110,610
3111,Festival Special Offer,Retention,Monthly Plan Users,2022-04-22,2022-05-14,10111.0,1111,611
3112,Summer Binge Offer,Reactivation,Annual Plan Users,2022-04-23,2022-05-16,10112.0,1112,612
3113,Monsoon Cashback Deal,Acquisition,New Users,2022-04-24,2022-05-18,10113.0,1113,613
3114,Winter Free Trial,Retention,Premium Users,2022-04-25,2022-05-20,10114.0,1114,614
3115,New Year Upgrade Now,Reactivation,Inactive Users,2022-04-26,2022-05-22,10115.0,1115,615
3116,Diwali Referral Bonus,Acquisition,Monthly Plan Users,2022-04-27,2022-05-24,10116.0,1116,616
3117,IPL Watch More,Retention,Annual Plan Users,2022-04-28,2022-05-26,10117.0,1117,617
3118,Holiday Reactivate,Reactivation,New Users,2022-04-29,2022-05-28,10118.0,1118,618
3119,Prime Special Offer,Acquisition,,2022-04-30,2022-05-30,10119.0,1119,619
3120,Weekend Binge Offer,Retention,Inactive Users,2022-05-01,2022-05-08,10120.0,1120,620
3121,Festival Cashback Deal,Reactivation,Monthly Plan Users,2022-05-02,2022-05-10,10121.0,1121,621
3122,Summer Free Trial,Acquisition,Annual Plan Users,2022-05-03,2022-05-12,10122.0,1122,622
3123,Monsoon Upgrade Now,Retention,New Users,2022-05-04,2022-05-14,10123.0,1123,623
3124,Winter Referral Bonus,Reactivation,Premium Users,2022-05-05,2022-05-16,10124.0,1124,624
3125,New Year Watch More,Acquisition,Inactive Users,2022-05-06,2022-05-18,10125.0,1125,625
3126,Diwali Reactivate,Retention,Monthly Plan Users,2022-05-07,2022-05-20,10126.0,1126,626
3127,IPL Special Offer,Reactivation,Annual Plan Users,2022-05-08,2022-05-22,10127.0,1127,627
3128,Holiday Binge Offer,Acquisition,New Users,2022-05-09,2022-05-24,10128.0,1128,628
3129,Prime Cashback Deal,Retention,Premium Users,2022-05-10,2022-05-26,10129.0,1129,629
3130,Weekend Free Trial,Reactivation,Inactive Users,2022-05-11,2022-05-28,10130.0,1130,630
3131,Festival Upgrade Now,Acquisition,Monthly Plan Users,2022-05-12,2022-05-30,10131.0,1131,631
3132,Summer Referral Bonus,Retention,Annual Plan Users,2022-05-13,2022-06-01,10132.0,1132,632
3133,Monsoon Watch More,Reactivation,New Users,2022-05-14,2022-06-03,10133.0,1133,633
3134,Winter Reactivate,Acquisition,Premium Users,2022-05-15,2022-06-05,10134.0,1134,634
3135,New Year Special Offer,Retention,Inactive Users,2022-05-16,2022-06-07,10135.0,1135,635
3136,Diwali Binge Offer,Reactivation,,2022-05-17,2022-06-09,10136.0,1136,636
3137,IPL Cashback Deal,Acquisition,Annual Plan Users,2022-05-18,2022-06-11,10137.0,1137,637
3138,Holiday Free Trial,Retention,New Users,2022-05-19,2022-06-13,10138.0,1138,638
3139,Prime Upgrade Now,Reactivation,Premium Users,2022-05-20,2022-06-15,10139.0,1139,639
3140,Weekend Referral Bonus,Acquisition,Inactive Users,2022-05-21,2022-06-17,10140.0,1140,640
3141,Festival Watch More,Retention,Monthly Plan Users,2022-05-22,2022-06-19,10141.0,1141,641
3142,Summer Reactivate,Reactivation,Annual Plan Users,2022-05-23,2022-06-21,10142.0,1142,642
3143,Monsoon Special Offer,Acquisition,New Users,2022-05-24,2022-06-23,10143.0,1143,643
3144,Winter Binge Offer,Retention,Premium Users,2022-05-25,2022-06-01,10144.0,1144,644
3145,New Year Cashback Deal,Reactivation,Inactive Users,2022-05-26,2022-06-03,10145.0,1145,645
3146,Diwali Free Trial,Acquisition,Monthly Plan Users,2022-05-27,2022-06-05,10146.0,1146,646
3147,IPL Upgrade Now,Retention,Annual Plan Users,2022-05-28,2022-06-07,10147.0,1147,647
3148,Holiday Referral Bonus,Reactivation,New Users,2022-05-29,2022-06-09,10148.0,1148,648
3149,Prime Watch More,Acquisition,Premium Users,2022-05-30,2022-06-11,10149.0,1149,649
3150,Weekend Reactivate,Retention,Inactive Users,2022-05-31,2022-06-13,10150.0,1150,650
3151,Festival Special Offer,Reactivation,Monthly Plan Users,2022-06-01,2022-06-15,10151.0,1151,651
3152,Summer Binge Offer,Acquisition,Annual Plan Users,2022-06-02,2022-06-17,10152.0,1152,652
3153,Monsoon Cashback Deal,Retention,,2022-06-03,2022-06-19,10153.0,1153,653
3154,Winter Free Trial,Reactivation,Premium Users,2022-06-04,2022-06-21,10154.0,1154,654
3155,New Year Upgrade Now,Acquisition,Inactive Users,2022-06-05,2022-06-23,10155.0,1155,655
3156,Diwali Referral Bonus,Retention,Monthly Plan Users,2022-06-06,2022-06-25,10156.0,1156,656
3157,IPL Watch More,Reactivation,Annual Plan Users,2022-06-07,2022-06-27,10157.0,1157,657
3158,Holiday Reactivate,Acquisition,New Users,2022-06-08,2022-06-29,10158.0,1158,658
3159,Prime Special Offer,Retention,Premium Users,2022-06-09,2022-07-01,10159.0,1159,659
3160,Weekend Binge Offer,Reactivation,Inactive Users,2022-06-10,2022-07-03,10160.0,1160,660
3161,Festival Cashback Deal,Acquisition,Monthly Plan Users,2022-06-11,2022-07-05,10161.0,1161,661
3162,Summer Free Trial,Retention,Annual Plan Users,2022-06-12,2022-07-07,10162.0,1162,662
3163,Monsoon Upgrade Now,Reactivation,New Users,2022-06-13,2022-07-09,10163.0,1163,663
3164,Winter Referral Bonus,Acquisition,Premium Users,2022-06-14,2022-07-11,10164.0,1164,664
3165,New Year Watch More,Retention,Inactive Users,2022-06-15,2022-07-13,10165.0,1165,665
3166,Diwali Reactivate,Reactivation,Monthly Plan Users,2022-06-16,2022-07-15,10166.0,1166,666
3167,IPL Special Offer,Acquisition,Annual Plan Users,2022-06-17,2022-07-17,10167.0,1167,667
3168,Holiday Binge Offer,Retention,New Users,2022-06-18,2022-06-25,10168.0,1168,668
3169,Prime Cashback Deal,Reactivation,Premium Users,2022-06-19,2022-06-27,10169.0,1169,669
3170,Weekend Free Trial,Acquisition,,2022-06-20,2022-06-29,10170.0,1170,670
3171,Festival Upgrade Now,Retention,Monthly Plan Users,2022-06-21,2022-07-01,10171.0,1171,671
3172,Summer Referral Bonus,Reactivation,Annual Plan Users,2022-06-22,2022-07-03,10172.0,1172,672
3173,Monsoon Watch More,Acquisition,New Users,2022-06-23,2022-07-05,10173.0,1173,673
3174,Winter Reactivate,Retention,Premium Users,2022-06-24,2022-07-07,10174.0,1174,674
3175,New Year Special Offer,Reactivation,Inactive Users,2022-06-25,2022-07-09,10175.0,1175,675
3176,Diwali Binge Offer,Acquisition,Monthly Plan Users,2022-06-26,2022-07-11,10176.0,1176,676
3177,IPL Cashback Deal,Retention,Annual Plan Users,2022-06-27,2022-07-13,10177.0,1177,677
3178,Holiday Free Trial,Reactivation,New Users,2022-06-28,2022-07-15,10178.0,1178,678
3179,Prime Upgrade Now,Acquisition,Premium Users,2022-06-29,2022-07-17,10179.0,1179,679
3180,Weekend Referral Bonus,Retention,Inactive Users,2022-06-30,2022-07-19,10180.0,1180,680
3181,Festival Watch More,Reactivation,Monthly Plan Users,2022-07-01,2022-07-21,10181.0,1181,681
3182,Summer Reactivate,Acquisition,Annual Plan Users,2022-07-02,2022-07-23,10182.0,1182,682
3183,Monsoon Special Offer,Retention,New Users,2022-07-03,2022-07-25,10183.0,1183,683
3184,Winter Binge Offer,Reactivation,Premium Users,2022-07-04,2022-07-27,10184.0,1184,684
3185,New Year Cashback Deal,Acquisition,Inactive Users,2022-07-05,2022-07-29,10185.0,1185,685
3186,Diwali Free Trial,Retention,Monthly Plan Users,2022-07-06,2022-07-31,10186.0,1186,686
3187,IPL Upgrade Now,Reactivation,,2022-07-07,2022-08-02,10187.0,1187,687
3188,Holiday Referral Bonus,Acquisition,New Users,2022-07-08,2022-08-04,10188.0,1188,688
3189,Prime Watch More,Retention,Premium Users,2022-07-09,2022-08-06,10189.0,1189,689
3190,Weekend Reactivate,Reactivation,Inactive Users,2022-07-10,2022-08-08,10190.0,1190,690
3191,Festival Special Offer,Acquisition,Monthly Plan Users,2022-07-11,2022-08-10,10191.0,1191,691
3192,Summer Binge Offer,Retention,Annual Plan Users,2022-07-12,2022-07-19,10192.0,1192,692
3193,Monsoon Cashback Deal,Reactivation,New Users,2022-07-13,2022-07-21,10193.0,1193,693
3194,Winter Free Trial,Acquisition,Premium Users,2022-07-14,2022-07-23,10194.0,1194,694
3195,New Year Upgrade Now,Retention,Inactive Users,2022-07-15,2022-07-25,10195.0,1195,695
3196,Diwali Referral Bonus,Reactivation,Monthly Plan Users,2022-07-16,2022-07-27,10196.0,1196,696
3197,IPL Watch More,Acquisition,Annual Plan Users,2022-07-17,2022-07-29,10197.0,1197,697
3198,Holiday Reactivate,Retention,New Users,2022-07-18,2022-07-31,10198.0,1198,698
3199,Prime Special Offer,Reactivation,Premium Users,2022-07-19,2022-08-02,10199.0,1199,699
3200,Weekend Binge Offer,Acquisition,Inactive Users,2022-07-20,2022-08-04,10200.0,1200,700
3201,Festival Cashback Deal,Retention,Monthly Plan Users,2022-07-21,2022-08-06,10201.0,1201,701
3202,Summer Free Trial,Reactivation,Annual Plan Users,2022-07-22,2022-08-08,10202.0,1202,702
3203,Monsoon Upgrade Now,Acquisition,New Users,2022-07-23,2022-08-10,10203.0,1203,703
3204,Winter Referral Bonus,Retention,,2022-07-24,2022-08-12,10204.0,1204,704
3205,New Year Watch More,Reactivation,Inactive Users,2022-07-25,2022-08-14,10205.0,1205,705
3206,Diwali Reactivate,Acquisition,Monthly Plan Users,2022-07-26,2022-08-16,10206.0,1206,706
3207,IPL Special Offer,Retention,Annual Plan Users,2022-07-27,2022-08-18,10207.0,1207,707
3208,Holiday Binge Offer,Reactivation,New Users,2022-07-28,2022-08-20,10208.0,1208,708
3209,Prime Cashback Deal,Acquisition,Premium Users,2022-07-29,2022-08-22,10209.0,1209,709
3210,Weekend Free Trial,Retention,Inactive Users,2022-07-30,2022-08-24,10210.0,1210,710
3211,Festival Upgrade Now,Reactivation,Monthly Plan Users,2022-07-31,2022-08-26,10211.0,1211,711
3212,Summer Referral Bonus,Acquisition,Annual Plan Users,2022-08-01,2022-08-28,10212.0,1212,712
3213,Monsoon Watch More,Retention,New Users,2022-08-02,2022-08-30,10213.0,1213,713
3214,Winter Reactivate,Reactivation,Premium Users,2022-08-03,2022-09-01,10214.0,1214,714
3215,New Year Special Offer,Acquisition,Inactive Users,2022-08-04,2022-09-03,10215.0,1215,715
3216,Diwali Binge Offer,Retention,Monthly Plan Users,2022-08-05,2022-08-12,10216.0,1216,716
3217,IPL Cashback Deal,Reactivation,Annual Plan Users,2022-08-06,2022-08-14,10217.0,1217,717
3218,Holiday Free Trial,Acquisition,New Users,2022-08-07,2022-08-16,10218.0,1218,718
3219,Prime Upgrade Now,Retention,Premium Users,2022-08-08,2022-08-18,10219.0,1219,719
3220,Weekend Referral Bonus,Reactivation,Inactive Users,2022-08-09,2022-08-20,10220.0,1220,720
3221,Festival Watch More,Acquisition,,2022-08-10,2022-08-22,10221.0,1221,721
3222,Summer Reactivate,Retention,Annual Plan Users,2022-08-11,2022-08-24,10222.0,1222,722
3223,Monsoon Special Offer,Reactivation,New Users,2022-08-12,2022-08-26,10223.0,1223,723
3224,Winter Binge Offer,Acquisition,Premium Users,2022-08-13,2022-08-28,10224.0,1224,724
3225,New Year Cashback Deal,Retention,Inactive Users,2022-08-14,2022-08-30,10225.0,1225,725
3226,Diwali Free Trial,Reactivation,Monthly Plan Users,2022-08-15,2022-09-01,10226.0,1226,726
3227,IPL Upgrade Now,Acquisition,Annual Plan Users,2022-08-16,2022-09-03,10227.0,1227,727
3228,Holiday Referral Bonus,Retention,New Users,2022-08-17,2022-09-05,10228.0,1228,728
3229,Prime Watch More,Reactivation,Premium Users,2022-08-18,2022-09-07,10229.0,1229,729
3230,Weekend Reactivate,Acquisition,Inactive Users,2022-08-19,2022-09-09,10230.0,1230,730
3231,Festival Special Offer,Retention,Monthly Plan Users,2022-08-20,2022-09-11,10231.0,1231,731
3232,Summer Binge Offer,Reactivation,Annual Plan Users,2022-08-21,2022-09-13,10232.0,1232,732
3233,Monsoon Cashback Deal,Acquisition,New Users,2022-08-22,2022-09-15,10233.0,1233,733
3234,Winter Free Trial,Retention,Premium Users,2022-08-23,2022-09-17,10234.0,1234,734
3235,New Year Upgrade Now,Reactivation,Inactive Users,2022-08-24,2022-09-19,10235.0,1235,735
3236,Diwali Referral Bonus,Acquisition,Monthly Plan Users,2022-08-25,2022-09-21,10236.0,1236,736
3237,IPL Watch More,Retention,Annual Plan Users,2022-08-26,2022-09-23,10237.0,1237,737
3238,Holiday Reactivate,Reactivation,,2022-08-27,2022-09-25,10238.0,1238,738
3239,Prime Special Offer,Acquisition,Premium Users,2022-08-28,2022-09-27,10239.0,1239,739
3240,Weekend Binge Offer,Retention,Inactive Users,2022-08-29,2022-09-05,10240.0,1240,740
3241,Festival Cashback Deal,Reactivation,Monthly Plan Users,2022-08-30,2022-09-07,10241.0,1241,741
3242,Summer Free Trial,Acquisition,Annual Plan Users,2022-08-31,2022-09-09,10242.0,1242,742
3243,Monsoon Upgrade Now,Retention,New Users,2022-09-01,2022-09-11,10243.0,1243,743
3244,Winter Referral Bonus,Reactivation,Premium Users,2022-09-02,2022-09-13,10244.0,1244,744
3245,New Year Watch More,Acquisition,Inactive Users,2022-09-03,2022-09-15,10245.0,1245,745
3246,Diwali Reactivate,Retention,Monthly Plan Users,2022-09-04,2022-09-17,10246.0,1246,746
3247,IPL Special Offer,Reactivation,Annual Plan Users,2022-09-05,2022-09-19,10247.0,1247,747
3248,Holiday Binge Offer,Acquisition,New Users,2022-09-06,2022-09-21,10248.0,1248,748
3249,Prime Cashback Deal,Retention,Premium Users,2022-09-07,2022-09-23,10249.0,1249,749
3250,Weekend Free Trial,Reactivation,Inactive Users,2022-09-08,2022-09-25,10250.0,1250,750
3251,Festival Upgrade Now,Acquisition,Monthly Plan Users,2022-09-09,2022-09-27,10251.0,1251,751
3252,Summer Referral Bonus,Retention,Annual Plan Users,2022-09-10,2022-09-29,10252.0,1252,752
3253,Monsoon Watch More,Reactivation,New Users,2022-09-11,2022-10-01,10253.0,1253,753
3254,Winter Reactivate,Acquisition,Premium Users,2022-09-12,2022-10-03,10254.0,1254,754
3255,New Year Special Offer,Retention,,2022-09-13,2022-10-05,10255.0,1255,755
3256,Diwali Binge Offer,Reactivation,Monthly Plan Users,2022-09-14,2022-10-07,10256.0,1256,756
3257,IPL Cashback Deal,Acquisition,Annual Plan Users,2022-09-15,2022-10-09,10257.0,1257,757
3258,Holiday Free Trial,Retention,New Users,2022-09-16,2022-10-11,10258.0,1258,758
3259,Prime Upgrade Now,Reactivation,Premium Users,2022-09-17,2022-10-13,10259.0,1259,759
3260,Weekend Referral Bonus,Acquisition,Inactive Users,2022-09-18,2022-10-15,10260.0,1260,760
3261,Festival Watch More,Retention,Monthly Plan Users,2022-09-19,2022-10-17,10261.0,1261,761
3262,Summer Reactivate,Reactivation,Annual Plan Users,2022-09-20,2022-10-19,10262.0,1262,762
3263,Monsoon Special Offer,Acquisition,New Users,2022-09-21,2022-10-21,10263.0,1263,763
3264,Winter Binge Offer,Retention,Premium Users,2022-09-22,2022-09-29,10264.0,1264,764
3265,New Year Cashback Deal,Reactivation,Inactive Users,2022-09-23,2022-10-01,10265.0,1265,765
3266,Diwali Free Trial,Acquisition,Monthly Plan Users,2022-09-24,2022-10-03,10266.0,1266,766
3267,IPL Upgrade Now,Retention,Annual Plan Users,2022-09-25,2022-10-05,10267.0,1267,767
3268,Holiday Referral Bonus,Reactivation,New Users,2022-09-26,2022-10-07,10268.0,1268,768
3269,Prime Watch More,Acquisition,Premium Users,2022-09-27,2022-10-09,10269.0,1269,769
3270,Weekend Reactivate,Retention,Inactive Users,2022-09-28,2022-10-11,10270.0,1270,770
3271,Festival Special Offer,Reactivation,Monthly Plan Users,2022-09-29,2022-10-13,10271.0,1271,771
3272,Summer Binge Offer,Acquisition,,2022-09-30,2022-10-15,10272.0,1272,772
3273,Monsoon Cashback Deal,Retention,New Users,2022-10-01,2022-10-17,10273.0,1273,773
3274,Winter Free Trial,Reactivation,Premium Users,2022-10-02,2022-10-19,10274.0,1274,774
3275,New Year Upgrade Now,Acquisition,Inactive Users,2022-10-03,2022-10-21,10275.0,1275,775
3276,Diwali Referral Bonus,Retention,Monthly Plan Users,2022-10-04,2022-10-23,10276.0,1276,776
3277,IPL Watch More,Reactivation,Annual Plan Users,2022-10-05,2022-10-25,10277.0,1277,777
3278,Holiday Reactivate,Acquisition,New Users,2022-10-06,2022-10-27,10278.0,1278,778
3279,Prime Special Offer,Retention,Premium Users,2022-10-07,2022-10-29,10279.0,1279,779
3280,Weekend Binge Offer,Reactivation,Inactive Users,2022-10-08,2022-10-31,10280.0,1280,780
3281,Festival Cashback Deal,Acquisition,Monthly Plan Users,2022-10-09,2022-11-02,10281.0,1281,781
